matricul,natcremo,mtinicre,mtsolree,dtprescc,ddmotiet,ddetatcr,lb_motietat,lb_etatcre,lb_statucre,lb_moderec,etatsdp,idnatpie,annee_cohorte
M0000,PPA,1867.63,716.32,2025-11-07,2025-09-21,2025-02-15,Signalement usager,Ouvert,Relance,Manuel,Validée,DOC003,2025
M0001,ASF,1152.01,72.08,2025-12-24,2025-07-26,2025-11-05,Recalcul,Ouvert,Relance,Manuel,Rejetée,DOC002,2025
M0002,APL,1408.47,71.26,2025-06-03,2025-04-05,2025-03-29,Recalcul,En attente,A solder,Manuel,Validée,DOC001,2025
M0003,ASF,1848.87,12.11,2025-09-17,2025-08-10,2025-07-27,Recalcul,En attente,En cours,Manuel,Rejetée,DOC001,2025
M0004,ASF,1429.12,956.5,2025-04-18,2025-10-03,2025-09-26,Signalement usager,En attente,En cours,Automatique,Validée,DOC003,2025
M0005,RSA,347.45,737.51,2025-10-12,2025-08-19,2025-03-30,Signalement usager,Ouvert,Relance,Automatique,Rejetée,DOC003,2025
M0006,APL,1173.76,353.25,2025-02-28,2025-11-05,2025-04-28,Signalement usager,En attente,A solder,Automatique,En attente,DOC001,2025
M0007,APL,1233.09,296.54,2025-05-05,2025-04-29,2025-02-23,Recalcul,En attente,Relance,Automatique,Rejetée,DOC001,2025
M0008,APL,877.05,349.7,2025-12-20,2025-09-25,2025-04-26,Signalement usager,Ouvert,Relance,Manuel,En attente,DOC002,2025
M0009,ASF,1486.07,774.65,2025-09-30,2025-09-30,2025-04-28,Erreur CAF,Clôturé,Relance,Manuel,Rejetée,DOC001,2025
M0010,PPA,1872.02,661.37,2025-04-17,2025-03-05,2025-09-17,Signalement usager,Clôturé,A solder,Automatique,En attente,DOC003,2025
M0011,APL,1854.86,185.2,2025-10-26,2025-10-25,2025-03-16,Recalcul,En attente,A solder,Automatique,Validée,DOC001,2025
M0012,ASF,929.14,174.11,2025-09-02,2025-12-16,2025-11-01,Erreur CAF,Clôturé,En cours,Manuel,Rejetée,DOC003,2025
M0013,RSA,270.81,98.4,2025-12-02,2025-01-11,2025-01-07,Signalement usager,Clôturé,A solder,Manuel,Validée,DOC003,2025
M0014,PPA,1970.44,660.3,2025-09-04,2025-04-08,2025-05-02,Erreur CAF,Clôturé,Relance,Manuel,En attente,DOC002,2025
M0015,RSA,1685.85,764.37,2025-01-08,2025-03-12,2025-01-11,Erreur CAF,Clôturé,Relance,Manuel,Rejetée,DOC002,2025
M0016,PPA,293.09,265.05,2025-05-21,2025-12-30,2025-12-14,Recalcul,En attente,En cours,Manuel,Rejetée,DOC002,2025
M0017,ASF,1845.64,20.94,2025-12-28,2025-02-27,2025-08-03,Erreur CAF,Clôturé,A solder,Automatique,Validée,DOC002,2025
M0018,AAH,1746.3,82.17,2025-01-08,2025-10-17,2025-10-06,Erreur CAF,Clôturé,Relance,Automatique,Rejetée,DOC001,2025
M0019,PPA,1061.73,967.86,2025-12-18,2025-09-08,2025-01-28,Recalcul,Ouvert,En cours,Manuel,Rejetée,DOC002,2025
M0020,RSA,1202.99,295.44,2025-04-04,2025-10-03,2025-08-23,Recalcul,En attente,En cours,Manuel,Validée,DOC001,2025
M0021,ASF,828.06,769.22,2025-11-17,2025-02-19,2025-11-09,Recalcul,Ouvert,Relance,Automatique,Rejetée,DOC002,2025
M0022,PPA,156.79,624.66,2025-02-08,2025-12-24,2025-01-26,Erreur CAF,Ouvert,Relance,Manuel,Validée,DOC002,2025
M0023,AAH,703.63,381.94,2025-03-22,2025-08-04,2025-02-23,Erreur CAF,En attente,A solder,Automatique,Validée,DOC003,2025
M0024,AAH,1615.56,205.69,2025-07-06,2025-02-21,2025-01-29,Erreur CAF,Clôturé,En cours,Automatique,Validée,DOC001,2025
M0025,APL,59.03,121.39,2025-03-25,2025-09-28,2025-12-19,Recalcul,Ouvert,Relance,Automatique,Validée,DOC003,2025
M0026,APL,700.32,615.01,2025-03-29,2025-03-25,2025-06-13,Signalement usager,En attente,En cours,Automatique,Validée,DOC002,2025
M0027,RSA,826.43,774.63,2025-08-30,2025-10-20,2025-09-27,Erreur CAF,Clôturé,A solder,Manuel,En attente,DOC001,2025
M0028,PPA,1097.92,643.9,2025-12-08,2025-05-06,2025-11-30,Signalement usager,En attente,Relance,Manuel,En attente,DOC002,2025
M0029,PPA,1843.72,530.3,2025-04-03,2025-10-23,2025-02-04,Recalcul,Ouvert,A solder,Automatique,Validée,DOC003,2025
M0030,APL,725.37,41.95,2025-03-27,2025-03-13,2025-10-13,Erreur CAF,Clôturé,En cours,Manuel,En attente,DOC001,2025
